LLAVE,MUNICIPIO,CLAVECCT,NOMBRE,TURNO,PERIODO,TIPO,NIVEL,SUBNIVEL,NIV,SEREDU,SOSADMI,SEXO,TOTAL_DIS,CEGUERA,BAJA VISIÓN,SORDERA,HIPOACUSIA,SORDOCEGUERA,DISCAPACIDAD MOTRIZ,DISCAPACIDAD INTELECTUAL,DISCAPACIDAD PSICOSOCIAL,TRANSTORNO DEL ESPECTRO AUTISTA,DISCAPACIDAD MÚLTIPLE,TRANSTORNO POR DÉFICIT DE ATENCIÓN E HIPERACTIVIDAD,APTITUDES SOBRESALIENTES,OTRAS CONDICIONES,USAER CORRESPONDE
13DIN0013Z1,IXMIQUILPAN,13DIN0013Z,SOR JUANA INES DE LA CRUZ,1,I2023,EDUCACION INICIAL,INICIAL,INICIAL INDIGENA ESCOLARIZADA,0,Inicial Escolarizado Indígena,Federal Transferido,TOTAL,3,0,0,0,0,0,0,0,0,1,0,0,0,2,
13DIN0017V1,IXMIQUILPAN,13DIN0017V,MARGARITA MAZA DE JUAREZ,1,I2023,EDUCACION INICIAL,INICIAL,INICIAL INDIGENA ESCOLARIZADA,0,Inicial Escolarizado Indígena,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,
13DIN0032N1,HUEJUTLA DE REYES,13DIN0032N,MANUEL AVILA CAMACHO,1,I2023,EDUCACION INICIAL,INICIAL,INICIAL INDIGENA ESCOLARIZADA,0,Inicial Escolarizado Indígena,Federal Transferido,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13DIN0037I1,YAHUALICA,13DIN0037I,JEAN PIAGET,1,I2023,EDUCACION INICIAL,INICIAL,INICIAL INDIGENA ESCOLARIZADA,0,Inicial Escolarizado Indígena,Federal Transferido,TOTAL,4,0,0,0,0,1,1,0,0,0,1,0,0,1,
13DIN0071P1,SAN FELIPE ORIZATLAN,13DIN0071P,FRANCISCO VILLA,1,I2023,EDUCACION INICIAL,INICIAL,INICIAL INDIGENA ESCOLARIZADA,0,Inicial Escolarizado Indígena,Federal Transferido,TOTAL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
13DJN0001J1,LOLOTLA,13DJN0001J,PAQUIXUCHIMILLI,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
13DJN0002I1,TLANALAPA,13DJN0002I,SAMUEL F. MORSE,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
13DJN0005F1,METEPEC,13DJN0005F,JUAN DE LA BARRERA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,7,0,0,0,0,0,0,0,0,5,0,2,0,0,
13DJN0006E1,EMILIANO ZAPATA,13DJN0006E,BARTOLOME DE MEDINA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,1,0,0,0,0,1,0,0,0,0,0,1,
13DJN0007D1,SAN SALVADOR,13DJN0007D,MANUEL GUTIERREZ NAJERA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
13DJN0012P1,MINERAL DEL CHICO,13DJN0012P,GENARO GUZMAN MAYER,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0013O1,ZEMPOALA,13DJN0013O,JULIO VERNE,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,1,0,2,0,0,0,0,0,0,0,
13DJN0014N1,CHAPULHUACAN,13DJN0014N,FRANCISCO GONZALEZ BOCANEGRA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,1,0,0,0,0,0,0,0,0,1,0,0,
13DJN0019I1,TEPEJI DEL RIO DE OCAMPO,13DJN0019I,CONETL YOALPAKI,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13DJN0026S1,ACAXOCHITLAN,13DJN0026S,JUAN AMOS COMENIO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
13DJN0030E1,CHAPULHUACAN,13DJN0030E,JUAN ESCUTIA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,0,0,1,0,0,0,0,0,0,2,
13DJN0031D1,PACHUCA DE SOTO,13DJN0031D,LAURA LUGO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0032C1,HUEJUTLA DE REYES,13DJN0032C,SEVERA TOLEDO RENDON,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,1,0,0,0,0,0,0,1,0,0,0,0,
13DJN0033B1,MINERAL DEL MONTE,13DJN0033B,PRO PATRIA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,3,0,0,0,0,0,0,0,0,0,0,0,
13DJN0037Y1,METEPEC,13DJN0037Y,PABLO PICASSO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
13DJN0038X1,TEPEJI DEL RIO DE OCAMPO,13DJN0038X,21 DE ABRIL,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
13DJN0043I1,TULANCINGO DE BRAVO,13DJN0043I,EL PUEBLO DEL SOL,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,9,0,0,0,0,0,0,0,0,2,0,0,0,7,
13DJN0046F1,CUAUTEPEC DE HINOJOSA,13DJN0046F,EVA SAMANO DE LOPEZ MATEOS,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,15,0,1,0,0,0,2,4,0,0,0,1,0,7,
13DJN0047E1,PROGRESO DE OBREGON,13DJN0047E,CLUB DE LEONES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0048D1,PACHUCA DE SOTO,13DJN0048D,CORONEL Y PROFESOR LEOPOLDO RUIZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,7,0,0,0,0,0,0,0,0,2,0,0,0,5,
13DJN0056M1,TEPEAPULCO,13DJN0056M,MELCHOR OCAMPO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
13DJN0059J1,EPAZOYUCAN,13DJN0059J,MEDARDO ANAYA ARMAS,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,0,1,0,0,0,1,
13DJN0060Z1,EPAZOYUCAN,13DJN0060Z,SOR JUANA INES DE LA CRUZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,1,1,0,0,0,0,
13DJN0061Y1,MOLANGO DE ESCAMILLA,13DJN0061Y,ADOLFO ESPINOSA ANGELES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
13DJN0064V1,NOPALA DE VILLAGRAN,13DJN0064V,NIĂ‘OS HEROES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
13DJN0066T1,FRANCISCO I. MADERO,13DJN0066T,LAUREANA WRIGHT GONZALEZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,1,1,0,1,0,0,0,1,
13DJN0069Q1,HUEJUTLA DE REYES,13DJN0069Q,DR. MICHEL NAVARRETE,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0070F1,TLAXCOAPAN,13DJN0070F,PROFRA. ROSAURA SERRANO DE HERNANDEZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,1,0,0,0,0,0,0,3,
13DJN0071E1,ATOTONILCO DE TULA,13DJN0071E,PROFR. ELISEO BANDALA FERNANDEZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,7,0,0,0,0,0,0,0,0,0,0,0,7,0,
13DJN0072D1,PACHUCA DE SOTO,13DJN0072D,MARGARITA MAZA DE JUAREZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,
13DJN0075A1,TLANCHINOL,13DJN0075A,SOR JUANA INES DE LA CRUZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,17,0,0,0,0,0,0,0,0,0,0,0,0,17,
13DJN0076Z1,ACTOPAN,13DJN0076Z,EMILIANO ZAPATA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
13DJN0077Z1,TEPEAPULCO,13DJN0077Z,I M S S,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0082K1,TECOZAUTLA,13DJN0082K,GABRIELA MISTRAL,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13DJN0083J1,TULA DE ALLENDE,13DJN0083J,PROFRA. MARIA LUISA LATOUR,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0084I1,NOPALA DE VILLAGRAN,13DJN0084I,JOSE MA. PINO SUAREZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0085H1,NOPALA DE VILLAGRAN,13DJN0085H,VENUSTIANO CARRANZA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0086G1,PACHUCA DE SOTO,13DJN0086G,DRA. COLUMBA RIVERA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
13DJN0087F1,MIXQUIAHUALA DE JUAREZ,13DJN0087F,BENITO JUAREZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,0,1,0,1,0,0,
13DJN0088E1,IXMIQUILPAN,13DJN0088E,PROFRA. MATILDE GOMEZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,0,0,0,0,1,1,0,1,0,0,
13DJN0090T1,SAN SALVADOR,13DJN0090T,MEXICO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,1,0,0,0,0,0,0,0,0,1,0,2,
13DJN0093Q1,OMITLAN DE JUAREZ,13DJN0093Q,ANTONIETA R. DE SANCHEZ MEJORADA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,0,0,0,0,0,1,0,0,0,2,
13DJN0095O1,ATOTONILCO DE TULA,13DJN0095O,GRAL. MARIANO ESCOBEDO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0097M1,CUAUTEPEC DE HINOJOSA,13DJN0097M,IGNACIO ALDAMA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13DJN0098L1,ACATLAN,13DJN0098L,FEDERICO CHOPIN,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,11,1,0,0,0,0,0,0,0,0,0,0,3,7,
13DJN0099K1,IXMIQUILPAN,13DJN0099K,FRANCISCO GABILONDO SOLER,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
13DJN0101I1,TULA DE ALLENDE,13DJN0101I,CARMEN SERDAN,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0103G1,TEPETITLAN,13DJN0103G,JAIME NUNO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,2,0,0,0,0,0,0,0,0,0,0,1,
13DJN0104F1,TEZONTEPEC DE ALDAMA,13DJN0104F,MARIA MONTESSORI,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
13DJN0106D1,TULANCINGO DE BRAVO,13DJN0106D,CAMARA DE COMERCIO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,0,0,1,0,0,2,0,0,0,0,
13DJN0107C1,TULANCINGO DE BRAVO,13DJN0107C,CLUB DE LEONES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,14,0,0,0,1,0,0,0,0,2,0,0,0,11,
13DJN0108B1,ZIMAPAN,13DJN0108B,ROSAURA ZAPATA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,0,0,0,2,0,1,0,1,
13DJN0113N1,METZTITLAN,13DJN0113N,LIC. ISAAC PIĂ‘A PEREZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,0,0,0,0,0,2,0,0,1,0,
13DJN0115L1,MINERAL DEL CHICO,13DJN0115L,EL NIĂ‘O CAMPESINO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0117J1,PACHUCA DE SOTO,13DJN0117J,DR. JOSE G. PARRES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
13DJN0118I1,PACHUCA DE SOTO,13DJN0118I,AMADO NERVO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,8,0,1,0,0,0,0,2,2,3,0,0,0,0,
13DJN0120X1,ATLAPEXCO,13DJN0120X,SRA. TERESA PEREZ DE FLORES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13DJN0121W1,SAN AGUSTIN TLAXIACA,13DJN0121W,CUAUHTEMOC,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,0,0,0,1,0,0,0,3,
13DJN0122V1,ZACUALTIPAN DE ANGELES,13DJN0122V,PROFRA. ROSAURA ZAPATA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,32,0,0,0,0,0,0,0,0,0,0,0,0,32,
13DJN0123U1,AJACUBA,13DJN0123U,HUEMAC,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,0,0,0,0,0,2,1,1,
13DJN0127Q1,TEPEJI DEL RIO DE OCAMPO,13DJN0127Q,PROFR. ANGEL GONZALEZ AMEZCUA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0128P1,ZACUALTIPAN DE ANGELES,13DJN0128P,PROFR. FRANCISCO CESAR MORALES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0131C1,IXMIQUILPAN,13DJN0131C,GABRIELA MISTRAL,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,1,1,0,1,0,1,0,0,
13DJN0132B1,ATITALAQUIA,13DJN0132B,GUILLERMO FEDERICO FROEBEL,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0133A1,PACHUCA DE SOTO,13DJN0133A,ESPERANZA GARCIA CONDE DE NYSSEN,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,0,0,0,0,0,2,0,2,
13DJN0135Z1,PACHUCA DE SOTO,13DJN0135Z,LIC. GAUDENCIO MORALES HERNANDEZ,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,8,0,0,0,0,0,0,0,0,0,0,0,0,8,
13DJN0136Y1,SAN AGUSTIN TLAXIACA,13DJN0136Y,MANUEL FERNANDO SOTO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,1,0,0,0,0,1,0,0,0,1,0,0,0,
13DJN0137X1,IXMIQUILPAN,13DJN0137X,RA HYATS'I,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0139V1,ACTOPAN,13DJN0139V,SILVIA GARCIA DE ALBA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0140K1,SINGUILUCAN,13DJN0140K,MIGUEL ANGEL BUONARROTI,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,1,0,1,0,0,0,0,
13DJN0141J1,ZEMPOALA,13DJN0141J,BEATRIZ ORDOĂ‘EZ ACUĂ‘A,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
13DJN0146E2,TULANCINGO DE BRAVO,13DJN0146E,JOSE MA. RODRIGUEZ Y COSS,2,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,0,2,0,0,0,0,
13DJN0151Q1,FRANCISCO I. MADERO,13DJN0151Q,PROFR. Y LIC. CARLOS RAMIREZ GUERRERO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
13DJN0152P1,VILLA DE TEZONTEPEC,13DJN0152P,EFREN OROZCO ROSALES,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,0,0,0,1,0,0,0,3,
13DJN0153O1,CHILCUAUTLA,13DJN0153O,PROFRA. ANGELA BARRIENTOS,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,1,1,0,0,0,0,0,
13DJN0154N1,TLAHUELILPAN,13DJN0154N,HEROES DE CHAPULTEPEC,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
13DJN0155M1,TASQUILLO,13DJN0155M,LEONA VICARIO,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
13DJN0157K1,SANTIAGO DE ANAYA,13DJN0157K,EMILIANO ZAPATA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
13DJN0158J1,TULA DE ALLENDE,13DJN0158J,LIC. ADOLFO LOPEZ MATEOS,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,16,0,0,0,0,0,0,0,0,1,0,0,0,15,
13DJN0161X1,FRANCISCO I. MADERO,13DJN0161X,GRAL. IGNACIO ZARAGOZA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
13DJN0162W1,TIZAYUCA,13DJN0162W,ESTEFANIA CASTAĂ‘EDA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,2,0,0,0,0,0,0,0,0,1,0,1,0,0,
13DJN0163V1,PACHUCA DE SOTO,13DJN0163V,HONTORIA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,4,0,0,0,0,0,0,0,0,2,0,1,0,1,
13DJN0165T1,SAN SALVADOR,13DJN0165T,JUDITH H. DE RUEDA VILLAGRAN,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
13DJN0167R1,ZIMAPAN,13DJN0167R,MIGUEL HIDALGO Y COSTILLA,1,I2023,EDUCACION BASICA,PREESCOLAR,PREESCOLAR GENERAL,2,General,Federal Transferido,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
